organisation_name,town_city,county,type_rating,route,careers_website
AIRSYS COMMUNICATIONS TECHNOLOGY LIMITED,Romsey,Hampshire,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
AIRSYS COMMUNICATIONS TECHNOLOGY LIMITED,Romsey,Hampshire,Worker (A rating),Skilled Worker,
AIRX TECHNOLOGIES LIMITED,London,,Worker (A rating),Skilled Worker,
AJ INFOTECH LIMITED,London,,Worker (A rating),Skilled Worker,
Akamai Technologies Limited,London,,Worker (A rating),Skilled Worker,
Akamai Technologies Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Akashi Digital Limited,London,,Worker (A rating),Skilled Worker,
Akeron Software UK Ltd,London,,Worker (A rating),Skilled Worker,
AKM COMPUTER LIMITED,LONDON,,Worker (A rating),Skilled Worker,
Akoni Technologies Ltd.,Reading,,Worker (A rating),Skilled Worker,
Aksha Technologies Limited,Watford,Hertfordshire,Worker (A rating),Skilled Worker,
AKSYA TECHNOLOGIES LTD,LONDON,,Worker (A rating),Skilled Worker,
Al Watani Telecom Ltd,Uxbridge,,Worker (A rating),Skilled Worker,
Alaraby Television Network Limited,Ealing,,Worker (A rating),Skilled Worker,
ALARIS THE RF TECHNOLOGY GROUP LTD,LINCOLN,Lincolnshire,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
ALARIS THE RF TECHNOLOGY GROUP LTD,LINCOLN,Lincolnshire,Worker (A rating),Skilled Worker,
Alator Data Services LTD,Dundee,Angus,Worker (A rating),Skilled Worker,
Alcatel Submarine Networks UK Ltd,London,,Temporary Worker (A rating),Global Business Mobility: Graduate Trainee,
Alcatel Submarine Networks UK Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Alcatel Submarine Networks UK Ltd,London,,Worker (A rating),Skilled Worker,
Alchemie Technology Ltd,Duxford,,Worker (A rating),Skilled Worker,
Alchemy Software Ltd,Bexleyheath,,Worker (A rating),Skilled Worker,
Alchemy Technology Services Limited,Derry/Londonderry,,Worker (A rating),Skilled Worker,
Alderson Digital Ltd,London,,Worker (A rating),Skilled Worker,
Aldia Technologies LTD,LONDON,,Worker (A rating),Skilled Worker,
Aleti Software Systems Ltd,Newcastle Upon Tyne,,Worker (A rating),Skilled Worker,
Alexander Technologies Europe Limited,Peterlee,,Worker (A rating),Skilled Worker,
Alfa Financial Software Ltd,London,,Worker (A rating),Skilled Worker,
Algiz Technology Limited,Birmingham,West Midlands,Worker (A rating),Skilled Worker,
Algorithms Software UK Ltd,London,,Worker (A rating),Skilled Worker,
Algorithms Software UK Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Alianza UK Technologies Limited,Cambridge,Cambridgeshire,Worker (A rating),Skilled Worker,
Align Technology UK Limited,Solihull,,Worker (A rating),Skilled Worker,
Align Technology UK Limited,Solihull,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Aligne Technologies Ltd,London,,Worker (A rating),Skilled Worker,
Aligned AI Limited,Thame,Oxfordshire,Worker (A rating),Skilled Worker,
All Eat App Network Technology Incorporated Ltd,Croydon,,Worker (A rating),Skilled Worker,
ALL.SPACE Networks Limited,Reading,Berkshire,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
ALL.SPACE Networks Limited,Reading,Berkshire,Worker (A rating),Skilled Worker,
Allied Automation And Software Solutions Limited,London,,Worker (UK Expansion Worker: Provisional ),Global Business Mobility: UK Expansion Worker,
Allied Computer UK Limited,Wembley,,Worker (A rating),Skilled Worker,
ALLIED COMPUTER UK LTD,Wembley,,Worker (A rating),Skilled Worker,
Allied Digital Services UK Ltd,Lewins Mead,Bristol,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Allied Digital Services UK Ltd,Lewins Mead,Bristol,Worker (A rating),Skilled Worker,
Allied Software Ltd,Glasgow,,Worker (A rating),Skilled Worker,
Alliot Technologies Limited,Huddersfield,West Yorkshire,Worker (A rating),Skilled Worker,
Allocate Software Ltd,Richmond,,Worker (A rating),Skilled Worker,
AllPoints Fibre Networks Limited,Reading,,Worker (A rating),Skilled Worker,
AllSee Technologies Ltd,Birmingham,West Midlands,Worker (A rating),Skilled Worker,
Allygrow Technologies UK Limited,Harrow,,Worker (A rating),Skilled Worker,
Allygrow Technologies UK Limited,Harrow,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Alp Technologies Ltd,London,,Worker (A rating),Skilled Worker,
ALPHA DATA PARALLEL SYSTEMS LTD,EDINBURGH,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
ALPHA DATA PARALLEL SYSTEMS LTD,EDINBURGH,,Worker (A rating),Skilled Worker,
ALPHA2 SOLUTIONS & SOFTWARE LIMITED,LONDON,,Worker (A rating),Skilled Worker,
ALPHALAKE TECHNOLOGIES LTD,Northampton,,Worker (A rating),Skilled Worker,
Alpharithm Technologies Limited,London,,Worker (A rating),Skilled Worker,
Alpharithm Technologies Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
AlphaSense Technology Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
AlphaSense Technology Limited,London,,Worker (A rating),Skilled Worker,
Alphatec Software Limited,Dodford,Northamptonshire,Worker (A rating),Skilled Worker,
Alphr Technology Ltd,Letchworth Garden City,Hertfordshire,Worker (A rating),Skilled Worker,
AlSaab Ltd t/a AlSaab Digital Ventures,London,,Worker (A rating),Skilled Worker,
Altana Technologies UK Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Altana Technologies UK Ltd,London,,Worker (A rating),Skilled Worker,
ALTEN GLOBAL TECHNOLOGIES,"Cambridge,",,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
ALTEN GLOBAL TECHNOLOGIES,"Cambridge,",,Worker (A rating),Skilled Worker,
Alter Technology TUV NORD UK LTD,Livingston,,Worker (A rating),Skilled Worker,
Altera Semiconductor Technology UK Limited,Marlow,,Worker (A rating),Skilled Worker,
Altera Semiconductor Technology UK Limited,Marlow,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
"Alternative Loans Experience Technologies UK Limited, trading as Infinit",London,,Worker (A rating),Skilled Worker,
Altrix Technology Ltd,London,,Worker (A rating),Skilled Worker,
Altus Technologies Ltd,Horsham,,Worker (A rating),Skilled Worker,
Alula Technologies Ltd,London,,Worker (A rating),Skilled Worker,
Alula Technologies Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
AM Insights Technology Limited,London,,Worker (A rating),Skilled Worker,
Amadeus Software Limited,Oxon,,Worker (A rating),Skilled Worker,
AMICABLE TECHNOLOGIES LIMITED,Newcastle Upon Tyne,,Worker (A rating),Skilled Worker,
Amina Technologies Ltd,Huntingdon,Cambridgeshire,Worker (A rating),Skilled Worker,
Amphora Technologies Limited,Belfast,Antrim,Worker (A rating),Skilled Worker,
AMR Technologies Ltd,Solihull,,Worker (A rating),Skilled Worker,
AN INTELLIGENT NETWORK LTD,London,London,Worker (A rating),Skilled Worker,
Anaero Technology Ltd,Cambridge,Cambridgeshire,Worker (A rating),Skilled Worker,
Analog and Digital Solutions Limited,Kent,,Worker (A rating),Skilled Worker,
Anansi Technology Limited,London,,Worker (A rating),Skilled Worker,
AND Technology Research Limited,Epping,Essex,Worker (A rating),Skilled Worker,
Andor Technology,Belfast,Northern Ireland,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Andor Technology,Belfast,Northern Ireland,Worker (A rating),Skilled Worker,
Aneto Digital Services Ltd,Milton Keynes,Buckinghamshire,Worker (A rating),Skilled Worker,
Ankar.ai,London,,Worker (A rating),Skilled Worker,
Anker Technology (UK) Ltd,Watford,Hertfordshire,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Anker Technology (UK) Ltd,Watford,Hertfordshire,Worker (A rating),Skilled Worker,
ANRA Technologies UK Ltd,Cranfield,,Worker (A rating),Skilled Worker,
ANSA Data Analytics Ltd,Aberdeen,,Worker (A rating),Skilled Worker,
Ansari Technology Ltd,Edinburgh,,Worker (A rating),Skilled Worker,
Ansimicro Software UK Limited,Gloucester,Gloucestershire,Temporary Worker (A rating),Global Business Mobility: Graduate Trainee,
Ansimicro Software UK Limited,Gloucester,Gloucestershire,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Ansimicro Software UK Limited,Gloucester,Gloucestershire,Worker (A rating),Skilled Worker,
Ant Data Limited,Liverpool,Merseyside,Worker (A rating),Skilled Worker,
Ant Data Limited,Liverpool,,Worker (A rating),Skilled Worker,
Antare Technology Limited,London,,Worker (A rating),Skilled Worker,
Antioch Network Manchester,Rochdale,Lancs,Worker (A rating),Tier 2 Ministers of Religion,
ANZ DIGITAL LIMITED,"Welwyn Garden City,",,Worker (A rating),Skilled Worker,
APCO Technologies Services Ltd,Didcot,,Worker (A rating),Skilled Worker,
APCO Technologies Services Ltd,Didcot,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Apex Additive Technologies Ltd,Ebbw Vale,,Worker (A rating),Skilled Worker,
Apex Networks Ltd,Ramsgate,,Worker (A rating),Skilled Worker,
APG Technologies Limited,London,Greater London,Worker (A rating),Skilled Worker,
"API Software Limited (Trading as ""AutoRek"")",Glasgow,,Worker (A rating),Skilled Worker,
Apis Assay Technologies,Manchester,Greater Manchester,Worker (A rating),Skilled Worker,
Apollo Research AI Ltd,London,,Worker (A rating),Skilled Worker,
Apollo Research AI Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Apparel Cloud London Ltd,London,,Worker (A rating),Skilled Worker,
Appeal Marketing Ltd t/a Appeal Digital,Bristol,,Worker (A rating),Skilled Worker,
Appella AI Limited,London,,Worker (A rating),Skilled Worker,
Applexus Infotech Ltd,Amersham,,Worker (A rating),Skilled Worker,
Applexus Technologies Limited,Hounslow,Greater London,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Applexus Technologies Limited,Hounslow,Greater London,Worker (A rating),Skilled Worker,
Applied Data Science Partners Ltd,London,,Worker (A rating),Skilled Worker,
Applied Manufacturing Technologies Ltd,Pembroke,Dyfed,Worker (A rating),Skilled Worker,
Applied Network Solutions Limited,Holsworthy,Devon,Worker (A rating),Skilled Worker,
Applied Scientific Technologies Ltd,Stokesley,North Yorkshire,Worker (A rating),Skilled Worker,
Applied Technology Developments Ltd,Leicester,Leicestershire,Worker (A rating),Skilled Worker,
Apply Digital UK Ltd,London,,Worker (A rating),Skilled Worker,
APPLY4 TECHNOLOGY LIMITED,LONDON,,Worker (A rating),Skilled Worker,
Appmetric Software Limited,Basildon,,Worker (A rating),Skilled Worker,
Appsync Technologies Limited,Luton,,Worker (A rating),Skilled Worker,
Aprameyah Technologies Limited,Slough,,Worker (A rating),Skilled Worker,
Apriori Technologies UK Limited,Belfast,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Apriori Technologies UK Limited,Belfast,,Worker (A rating),Skilled Worker,
Aptitude Software Group plc,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Aptitude Software Group plc,London,,Worker (A rating),Skilled Worker,
Aptura AI UK Ltd.,London,,Worker (A rating),Skilled Worker,
Aqua Security Software UK LTD,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Aqua Security Software UK LTD,London,,Worker (A rating),Skilled Worker,
Aqua Technologies (Europe) Ltd,Hounslow,Middlesex,Worker (A rating),Skilled Worker,
Aquarium Software Limited,Altrincham,,Worker (A rating),Skilled Worker,
AR MOBILES & TECHNOLOGY LTD,Ashby-De-La-Zouch,,Worker (A rating),Skilled Worker,
AR TELEVISION NETWORK LTD,London,,Worker (A rating),Skilled Worker,
Aras Software Ltd,Birmingham,,Worker (A rating),Skilled Worker,
Arbor Networks UK Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Arbor Networks UK Limited,London,,Worker (A rating),Skilled Worker,
